_id,INC_IR_NO,INC_IA_NO,INC_DATE,INC_YEAR,INC_TIME,INC_DAY_WEEK,INC_BEAT,HUNDRED_BLOCK,INC_CITY,INC_STATE,INC_ZIPCODE,INC_PRECINCT,CIT_NUMBER,CIT_GENDER,CIT_AGE,SUBJ_AGE_GROUP,CIT_RACE,CIT_ETHNICITY,SIMPLE_SUBJ_RE_GRP,CITIZEN_CHARGE,HIGHEST_SHOW_FORCE,SHOW_FORCE_COUNT
1,202500000255424,SOF25-0005,2025-02-18 23:11:00,2025,23:11:00,Tuesday,Maricopa,1XXXX West Rancho Santa Fe Boulevard,Avondale,AZ,85392.0,Out of City,44041.0,Male,30.0,30s,Black,Non-Hispanic,Black or African American,No Charge,Gun,1
2,202500000193276,SOF25-0006,2025-02-18 13:50:00,2025,13:50:00,Tuesday,721,6XXX West Mcdowell Road,Phoenix,AZ,85035.0,Maryvale/Estrella Precinct,61390.0,Male,29.0,20s,White,Hispanic,White,No Charge,Gun,1
3,202500000252010,SOF25-0007,2025-02-18 11:13:00,2025,11:13:00,Tuesday,731,2XXX West Heatherbrae Drive,Phoenix,AZ,85015.0,Mountain View Precinct,61392.0,Male,45.0,40s,White,Non-Hispanic,White,No Charge,Gun,1
4,202500000252106,SOF25-0010,2025-02-18 12:44:00,2025,12:44:00,Tuesday,213,4XXX East Maya Way,Cave Creek,AZ,85331.0,Black Mountain Precinct,61423.0,Male,53.0,50s,White,Hispanic,White,Criminal Felony,Gun,1
5,202500000189932,SOF25-0023,2025-02-18 12:45:00,2025,12:45:00,Tuesday,431,4XXX South 32nd Street,Phoenix,AZ,85040.0,South Mountain Precinct,61465.0,Male,19.0,<20,Black,Non-Hispanic,Black or African American,Criminal Felony,Gun,1
6,202500000087063,SOF25-0027,2025-02-18 17:15:00,2025,17:15:00,Tuesday,621,1XXXX North 28th Drive,Phoenix,AZ,85029.0,Cactus Park Precinct,61474.0,Female,19.0,<20,White,Non-Hispanic,White,Criminal Felony,Gun,1
7,202500000087063,SOF25-0027,2025-02-18 17:15:00,2025,17:15:00,Tuesday,621,1XXXX North 28th Drive,Phoenix,AZ,85029.0,Cactus Park Precinct,61478.0,Male,23.0,20s,White,Hispanic,White,No Charge,Gun,1
8,202500000252086,SOF25-0048,2025-02-18 11:30:00,2025,11:30:00,Tuesday,822,3XXX North Maryvale Parkway,Phoenix,AZ,85031.0,Maryvale/Estrella Precinct,61567.0,Male,38.0,30s,White,Hispanic,White,Criminal Felony,Impact Munitions,1
9,202500000253079,SOF25-0050,2025-02-18 15:05:00,2025,15:05:00,Tuesday,831,2XXX South 83rd Avenue,Tolleson,AZ,85043.0,Maryvale/Estrella Precinct,61573.0,Male,43.0,40s,Black,Non-Hispanic,Black or African American,No Charge,Gun,1
10,202500000252554,SOF25-0051,2025-02-18 15:04:00,2025,15:04:00,Tuesday,812,2XXX North 83rd Drive,Phoenix,AZ,85037.0,Maryvale/Estrella Precinct,61584.0,Male,33.0,30s,White,Hispanic,White,Criminal Felony,Gun,1
11,202500000250443,SOF25-0063,2025-02-18 01:28:00,2025,01:28:00,Tuesday,413,2XXX West Broadway Road,Phoenix,AZ,85041.0,South Mountain Precinct,61637.0,Male,34.0,30s,White,Non-Hispanic,White,Traffic Criminal,Gun,1
12,202500000250345,SOF25-0069,2025-02-18 01:23:00,2025,01:23:00,Tuesday,824,X 43rd Ave & W I-10 Frwy,Phoenix,AZ,,Maryvale/Estrella Precinct,61672.0,Male,23.0,20s,Black,Non-Hispanic,Black or African American,Criminal Felony,Gun,1
13,202500000251870,SOF25-0087,2025-02-18 12:05:00,2025,12:05:00,Tuesday,Maricopa,2XXX South Alma School Road,Mesa,AZ,85210.0,Out of City,61719.0,Male,38.0,30s,White,Non-Hispanic,White,Criminal Felony,Gun,1
14,202500000253629,SOF25-0088,2025-02-18 16:30:00,2025,16:30:00,Tuesday,621,1XXX West Sahuaro Drive,Phoenix,AZ,85029.0,Desert Horizon Precinct,61729.0,Female,21.0,20s,White,Non-Hispanic,White,No Charge,Gun,1
15,202500000250716,SOF25-0548,2025-02-18 05:53:00,2025,05:53:00,Tuesday,423,2XXX East Magnolia Street,Phoenix,AZ,85034.0,South Mountain Precinct,63150.0,,42.0,40s,,,Other,No Charge,Gun,1
